Reference,Quantity,Name,Description,Package,Value
"15R1002,15R1003,15R1004,15R1011,15R1012,16R1046,16R1050,16R1051,17R1052,17R1055,17R1056,18R1057,18R1058,18R1059,18R1060,18R1061,18R1062,18R1063,18R1064,18R1065,18R1066,18R1067,18R1068,18R2057,18R2058,18R2059,18R2060,18R2061,18R2062,18R3057,18R3058,18R3059,18R3060,18R3061,18R3062", 35,0e,Small Resistor,0603,0e
"15R1015,15R1018,15R1021,15R1024,15R1027,15R1030,15R1033,15R1036",  8,100k,Small Resistor,0603,100k
"15C1001,15C1002,15C1003,15C1012,15C1013,15C1014,15C1015,15C1016,15C1017,15C1018,15C1019,15C1020,15C1021,15C1022,15C1023,15C1024,15C1025,15C1026,15C1027,15C1044,16C1048,16C1049,16C1050,16C1053,16C1054,16C1055,16C1056,16C1057,16C1060,16C1061,16C1062,16C1063,17C1068,17C1069,17C1070,17C1071,17C1072,18C1076,18C1077,18C2076,18C3076", 41,100n,Small Capacitor,0603,100n
"16C1058,16C1059",  2,15p,Small Capacitor,0603,15p
"15C1028,15C1029,15C1030,15C1031,15C1032,15C1033,15C1034,15C1035",  8,1n,Small Capacitor,0603,1n
"15C1036,15C1037,15C1038,15C1039,15C1040,15C1041,15C1042,15C1043,17C1067",  9,1u,Small Capacitor,0603,1u
"15C1004,15C1005,15C1006,15C1007,15C1008,15C1009,15C1010,15C1011",  8,220p,Small Capacitor,0603,220p
"15R1013,15R1016,15R1019,15R1022,15R1025,15R1028,15R1031,15R1034",  8,22k,Small Resistor,0603,22k
"15U1002",  1,26 pin,IO Connector,DIN-26,IO_A
"15U1003",  1,26 pin,IO Connector,DIN-26,IO_B
"16X1001",  1,27MHz,Crystal,27-Mhz CRYSTAL,27MHz
"10Q8",  1,2N3904-TO-92,NPN,TO-92,2N3904
"10Q7",  1,2N3906,PNP,TO-92,2N3906
"1Q1,6Q2,6Q3,6Q4,7Q5,7Q6,10Q9",  7,2N7002,MOSFET,SOT-23,2N7002
"15U1012,16U1026,17U1041",  3,3 pin power,3 pin power,Term-3,+-5V
"16U1018",  1,3.3V,Fixed Voltage Reg.,SOT-223,3v3
"15R1001,15R1005,15R1006,15R1007,15R1008,15R1009,15R1010,15R1038,16R1040,16R1041,16R1042,16R1043,16R1044,16R1045,16R1049,17R1054,18R1069,18R1070,18R2069,18R3069", 20,33e,Small Resistor,0603,33e
"15R1014,15R1017,15R1020,15R1023,15R1026,15R1029,15R1032,15R1035",  8,3k3,Small Resistor,0603,3k3
"16C1051,16C1052",  2,47n,Small Capacitor,0603,47n
"7U34,7U35",  2,6N135,Opto-isolator,DIP-8,6N135
"16R1047,16R1048",  2,75e,Small Resistor,0603,75e
"15R1037,16R1039,17R1053",  3,820e,Small Resistor,0603,820e
"4U21,5U24",  2,AD7674,18-bit, 800 ksps ADC,LFCSP-48,AD7674
"4U20",  1,AD8022,AD8022,SOIC-8,AD8022
"7U32",  1,ADR391,2.5V Reference,TSOT-5,ADR391
"1U3",  1,ADS1201,Delta-Sigma Modulator,SOIC-16,ADS1201
"2U6",  1,ADS1274,24-bit, 128 ksps ADC,TQFP-64,ADS1274
"9U45",  1,ATmega16L,Microprocessor,TQFP-44,ATmega16L
"8C100,8C101,8C102,8C103,8C104,8C105,8C106,8C107,8C108,8C109,1C11,9C110,9C111,9C112,9C113,9C114,10C118,1C12,10C120,10C121,10C125,10C127,10C128,10C129,2C13,10C131,2C14,2C15,2C16,2C17,2C18,2C19,2C20,3C25,3C30,3C35,3C40,3C41,3C42,3C43,3C44,4C49,4C51,4C52,4C53,4C54,4C55,4C56,4C57,4C58,1C6,5C63,5C65,5C66,5C67,5C68,5C69,1C7,5C70,5C71,6C75,6C76,1C8,7C81,8C87,8C88,8C89,1C9,8C90,8C91,8C92,8C93,8C94,8C95,8C96,8C97,8C98,8C99", 78,C,Capacitor,0603,100n
"3C24,3C29,3C34,3C39,4C48,1C5,5C62",  7,C,Capacitor,0603,10n
"4C47,5C61",  2,C,Capacitor,0603,1n
"1C10,10C130,4C50,5C64,6C72,6C73,6C74,7C82,7C84,7C85,7C86", 11,C,Capacitor,0603,1u
"4C45,4C46,5C59,5C60",  4,C,Capacitor,0603,330p
"1C1,3C23,3C28,3C33,3C38,1C4",  6,C,Capacitor,0603,3n3
"3C21,3C22,3C26,3C27,3C31,3C32,3C36,3C37",  8,C,Capacitor,0603,470p
"10C123",  1,C,Capacitor,0603,DNP
"9C115",  1,C,Capacitor,0603,DNP2
"10C116,10C117,10C119,10C122,10C124,10C126,7C132,1C2,1C3,7C77,7C78,7C79,7C80,7C83", 14,C-Polar,Electrolitic Capacitor,SMT-6mm,47u
"8U36",  1,DAC8564,Quad 16-bit, ksps DAC,TSSOP-16,DAC8564
"7J21,9J26,9J27,9J28",  4,DIN-10,DIN-10,DIN-10,IO
"8J39",  1,DIN-26,DIN-26,DIN-26,IO
"7J13",  1,DIN-26,DIN-26,DIN-26,IO1
"7J14",  1,DIN-26,DIN-26,DIN-26,IO2
"11J36,12J46,13J49",  3,DIN-50,Connector,LSH-50,LSH-50
"14J37,14J40,14J42",  3,DIN-50,Connector,LTH-50,LTH-50
"14J38,14J41,14J43",  3,DIN-50,Connector,Pads-50,Pads-50
"15C1045,15C1046,15C1047,16C1064,16C1065,16C1066,17C1073,17C1074,17C1075",  9,ElkCap,Electrolitic Cap,SMT-6mm,47u
"1U4",  1,HFBR-1520,Fibre Optic Transmitter,HFBR-0520,HFBR-1528
"10U55",  1,HFBR-1520,Fibre Optic Transmitter,HFBR-0520,Tx
"6U27",  1,HFBR-1520,Fibre Optic Transmitter,HFBR-0520,Tx1
"6U25",  1,HFBR-1520,Fibre Optic Transmitter,HFBR-0520,Tx2
"6U26",  1,HFBR-1520,Fibre Optic Transmitter,HFBR-0520,Tx3
"1U5",  1,HFBR-2520,Fibre Optic Receiver,HFBR-0520,HFBR-2528
"10U54",  1,HFBR-2520,Fibre Optic Receiver,HFBR-0520,Rx
"6U29",  1,HFBR-2520,Fibre Optic Receiver,HFBR-0520,Rx1
"6U28",  1,HFBR-2520,Fibre Optic Receiver,HFBR-0520,Rx2
"8U38,8U40,8U42,8U44",  4,INA129,Instrumentation Amp,SOIC-8,INA129
"16U1027,17U1040",  2,IO_A,Connectors- 10,DIN-10,IO_A
"16U1028,17U1042",  2,IO_B,Connectors- 10,DIN-10,IO_B
"16U1029,17U1043",  2,IO_C,Connectors- 10,DIN-10,IO_C
"16U1034",  1,In,Optical ,Optical-3pin,Optical
"16L1002",  1,L,Inductor,0603,47uH
"15L1001,17L1003",  2,L,Inductor,1210,100u
"15D1001",  1,LED1,small LED,0805,LED1
"16D1002",  1,LED2,small LED,0805,LED2
"17D1003",  1,LED3,small LED,0805,LED3
"16U1019",  1,LT1715,Dual Comparator,MSOP-10,LT1715
"15U1013,15U1014,15U1015,16U1030,16U1031,16U1032,17U1044,17U1045,17U1046,18U1054,18U1062,18U2054,18U3054", 13,Mount,Mount,Mount
"1J1,7J15,7J16,7J17,7J18,1J2,1J3,10J30,10J31,10J32,10J33,1J4,18U1055,18U1063,18U2055,18U3055", 16,Mount,Mount,Mount,
"15U1016,16U1033,17U1047",  3,Mount,Mount,Mount,GND
"11J35,12J47,13J50",  3,Nb IC,Nb IC,Nb-48,Nb-48
"11J44,12J45,13J48",  3,Nb IC,Nb IC,Nb-48-Wire,Nb-48
"8U37,8U39,8U41,8U43,10U57",  5,OPA211,Op-Amp,MSOP-8,OPA211
"15U1004,15U1005,15U1006,15U1007,15U1008,15U1009,15U1010,15U1011",  8,OPA727,Op-Amp,MSOP-8,OPA727
"15U1001",  1,PCM1680,PCM converter,SSOP-28,PCM1680
"17U1035",  1,PGA4311,Volume Control,SOP-28,PGA4311
"16U1017",  1,PLL1708,PLL MULTICLOCK,SSOP-20,PLL1708
"18U1052,18U1060,18U2052",  3,Pad,on pcb,Pad,4_3V3
"18U1051,18U1059,18U2051",  3,Pad,on pcb,Pad,4_ALERT
"18U1050,18U1058,18U2050",  3,Pad,on pcb,Pad,4_SCL
"18U1049,18U1057,18U2049,18U3049",  4,Pad,on pcb,Pad,4_SDA
"18U1053,18U1061,18U2053,18U3053",  4,Pad,on pcb,Pad,DGND4
"10R166,7R93",  2,R,Resistor,0603,0e
"1R11,8R114,8R115,8R116,8R117,10R171,11R176,12R180,13R181,3R23,3R24,3R33,3R34,3R43,3R44,3R53,3R54,6R83,6R85,6R87", 20,R,Resistor,0603,100e
"7R94,7R97",  2,R,Resistor,0603,100k
"10R169,10R170,4R55,4R56,4R59,4R60,4R65,4R66,5R69,5R70,5R73,5R74,5R79,5R80", 14,R,Resistor,0603,10k
"10R168,3R17,3R18,3R27,3R28,3R37,3R38,3R47,3R48",  9,R,Resistor,0603,12k
"1R12,10R172,1R2,6R84,6R86,6R88,7R95,7R98",  8,R,Resistor,0603,1k
"4R61,4R62,5R75,5R76,7R96,7R99",  6,R,Resistor,0603,220e
"1R3,1R4,1R7,1R8",  4,R,Resistor,0603,27k
"10R167",  1,R,Resistor,0603,2k2
"3R19,3R20,3R29,3R30,3R39,3R40,3R49,3R50,4R57,4R58,5R71,5R72", 12,R,Resistor,0603,2k7
"1R10,8R118,8R120,8R125,8R127,8R128,8R130,8R131,8R133,3R21,3R22,3R31,3R32,3R41,3R42,3R51,3R52,1R9", 18,R,Resistor,0603,330e
"7R100,7R101,7R102,7R103,7R104,7R105,7R106,7R107,7R108,7R109,7R110,7R111,7R112,7R113,2R13,9R134,9R135,9R136,9R137,9R138,9R139,2R14,9R140,9R141,9R142,9R143,9R144,9R145,9R146,9R147,9R148,9R149,9R150,9R151,9R152,9R153,9R154,9R155,9R156,9R157,9R158,9R159,9R160,9R161,9R162,9R163,9R164,4R67,4R68,5R81,5R82", 51,R,Resistor,0603,33e
"4R63,4R64,5R77,5R78",  4,R,Resistor,0603,33k
"10R174,1R5,1R6,6R89,6R91",  5,R,Resistor,0603,3k6
"8R119,8R126,8R129,8R132",  4,R,Resistor,0603,470e
"3R15,3R16,10R175,3R25,3R26,3R35,3R36,3R45,3R46,6R90,6R92", 11,R,Resistor,0603,6k8
"8R121,8R122,8R123,8R124,4R177,5R178,1R179",  7,R,Resistor,0603,DNP
"9R165",  1,R,Resistor,0603,DNP1
"1R1",  1,R,Resistor,DO-41,390k
"16J1001",  1,RCA,Phono connector,RCA,..
"16U1022",  1,SN74LV00A,Positive-nand Gates,TSSOP-14,SN74LV00A
"16T1001",  1,T1A,Transformer,4DIP300,..
"1U1,3U13,3U15,3U17,4U19,5U22,3U7",  7,THS4131,Diff-Amp,MSOP-8,THS4131
"7U31",  1,TLV1117,TLV1117,SOT-223,TLV1117-18
"10U53",  1,TLV1117,TLV1117,SOT-223,TLV1117-33
"1U2,7U30,7U33,10U51,10U52",  5,TLV1117,TLV1117,SOT-223,TLV1117-50
"10U50",  1,TLV1117,TLV1117,SOT-223,TLV1117-ADJ
"10U56",  1,TMP275,Temperature Sensor,MSOP-8,TMP275
"18U1048,18U1056,18U2048,18U3048",  4,TMP275,Temperature,MSOP-8,TMP275
"3J10",  1,Term-2 Left,Terminal,SMA,ADC1
"3J9",  1,Term-2 Left,Terminal,SMA,ADC2
"3J8",  1,Term-2 Left,Terminal,SMA,ADC3
"3J7",  1,Term-2 Left,Terminal,SMA,ADC4
"4J11,5J12",  2,Term-2 Left,Terminal,SMA,ADC5
"9J29",  1,Term-2 Left,Terminal,SMA,Clock
"7J19",  1,Term-2 Left,Terminal,SMA,Iso1
"7J20",  1,Term-2 Left,Terminal,SMA,Iso2
"10J34,1J5",  2,Term-2 Left,Terminal,Term-2,12V
"1J6",  1,Term-2 Left,Terminal,Term-2,Input
